,Province,Municipality,Party,Ballot Type,ValidVotesCast,MeanVoterTurnout
0,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,1485,58.35
1,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,1687,58.35
2,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],AFRICAN INDEPENDENT CONGRESS,PR,7616,58.35
3,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],AFRICAN INDEPENDENT CONGRESS,WARD,355,58.35
4,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],AFRICAN NATIONAL CONGRESS,PR,146919,58.35
5,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],AFRICAN NATIONAL CONGRESS,WARD,150914,58.35
6,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],CONGRESS  OF THE PEOPLE,PR,7867,58.35
7,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],CONGRESS  OF THE PEOPLE,WARD,4296,58.35
8,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,43062,58.35
9,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,44083,58.35
10,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],INDEPENDENT,WARD,5668,58.35
11,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],PAN AFRICANIST CONGRESS OF AZANIA,PR,3536,58.35
12,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],PAN AFRICANIST CONGRESS OF AZANIA,WARD,4493,58.35
13,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],PAN AFRICANIST MOVEMENT,PR,492,58.35
14,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],PAN AFRICANIST MOVEMENT,WARD,279,58.35
15,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],UNITED DEMOCRATIC MOVEMENT,PR,1563,58.35
16,Eastern Cape,BUF - Buffalo City Metropolitan Municipality [East London],UNITED DEMOCRATIC MOVEMENT,WARD,1130,58.35
17,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],AFRICAN NATIONAL CONGRESS,PR,7493,57.78
18,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],AFRICAN NATIONAL CONGRESS,WARD,7382,57.78
19,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,5634,57.78
20,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,5586,57.78
21,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],INDEPENDENT RATEPAYERS ASSOCIATION OF SA,PR,89,57.78
22,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],INDEPENDENT RATEPAYERS ASSOCIATION OF SA,WARD,174,57.78
23,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],PAN AFRICANIST CONGRESS OF AZANIA,PR,90,57.78
24,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],PAN AFRICANIST CONGRESS OF AZANIA,WARD,121,57.78
25,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],VRYHEIDSFRONT PLUS,PR,95,57.78
26,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],VRYHEIDSFRONT PLUS,WARD,136,57.78
27,Eastern Cape,EC102 - Blue Crane Route [Somerset East],AFRICAN NATIONAL CONGRESS,PR,6488,54.73
28,Eastern Cape,EC102 - Blue Crane Route [Somerset East],AFRICAN NATIONAL CONGRESS,WARD,6203,54.73
29,Eastern Cape,EC102 - Blue Crane Route [Somerset East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3411,54.73
30,Eastern Cape,EC102 - Blue Crane Route [Somerset East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,3220,54.73
31,Eastern Cape,EC102 - Blue Crane Route [Somerset East],INDEPENDENT,WARD,659,54.73
32,Eastern Cape,EC103 - Ikwezi [Jansenville],AFRICAN NATIONAL CONGRESS,PR,2356,59.55
33,Eastern Cape,EC103 - Ikwezi [Jansenville],AFRICAN NATIONAL CONGRESS,WARD,2346,59.55
34,Eastern Cape,EC103 - Ikwezi [Jansenville],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1211,59.55
35,Eastern Cape,EC103 - Ikwezi [Jansenville],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1044,59.55
36,Eastern Cape,EC103 - Ikwezi [Jansenville],INDEPENDENT,WARD,168,59.55
37,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN NATIONAL CONGRESS,PR,18106,56.1
38,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN NATIONAL CONGRESS,WARD,17451,56.1
39,Eastern Cape,EC104 - Makana [Grahamstown],AZANIAN PEOPLE'S ORGANISATION,PR,346,56.1
40,Eastern Cape,EC104 - Makana [Grahamstown],AZANIAN PEOPLE'S ORGANISATION,WARD,302,56.1
41,Eastern Cape,EC104 - Makana [Grahamstown],CONGRESS  OF THE PEOPLE,PR,690,56.1
42,Eastern Cape,EC104 - Makana [Grahamstown],CONGRESS  OF THE PEOPLE,WARD,798,56.1
43,Eastern Cape,EC104 - Makana [Grahamstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,5074,56.1
44,Eastern Cape,EC104 - Makana [Grahamstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,5035,56.1
45,Eastern Cape,EC104 - Makana [Grahamstown],INDEPENDENT,WARD,130,56.1
46,Eastern Cape,EC104 - Makana [Grahamstown],MAKANA INDEPENDENT NEW DEAL,PR,483,56.1
47,Eastern Cape,EC104 - Makana [Grahamstown],MAKANA INDEPENDENT NEW DEAL,WARD,593,56.1
48,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN NATIONAL CONGRESS,PR,14481,69.08
49,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN NATIONAL CONGRESS,WARD,14168,69.08
50,Eastern Cape,EC105 - Ndlambe [Port Alfred],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,6533,69.08
51,Eastern Cape,EC105 - Ndlambe [Port Alfred],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,6016,69.08
52,Eastern Cape,EC105 - Ndlambe [Port Alfred],INDEPENDENT,WARD,1294,69.08
53,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],AFRICAN NATIONAL CONGRESS,PR,11923,62.22
54,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],AFRICAN NATIONAL CONGRESS,WARD,10898,62.22
55,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3256,62.22
56,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2805,62.22
57,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],INDEPENDENT,WARD,2223,62.22
58,Eastern Cape,EC107 - Baviaans [Willowmore],AFRICAN NATIONAL CONGRESS,PR,2940,71.59
59,Eastern Cape,EC107 - Baviaans [Willowmore],AFRICAN NATIONAL CONGRESS,WARD,2922,71.59
60,Eastern Cape,EC107 - Baviaans [Willowmore],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3629,71.59
61,Eastern Cape,EC107 - Baviaans [Willowmore],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,3644,71.59
62,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN NATIONAL CONGRESS,PR,17184,67.36
63,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN NATIONAL CONGRESS,WARD,16607,67.36
64,Eastern Cape,EC108 - Kouga [Humansdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,16551,67.36
65,Eastern Cape,EC108 - Kouga [Humansdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,16381,67.36
66,Eastern Cape,EC108 - Kouga [Humansdorp],INDEPENDENT,WARD,1129,67.36
67,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA 2000,PR,245,67.36
68,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA 2000,WARD,241,67.36
69,Eastern Cape,EC108 - Kouga [Humansdorp],SOUTH AFRICAN PROGRESSIVE CIVIC ORGANISATION,PR,32,67.36
70,Eastern Cape,EC108 - Kouga [Humansdorp],SOUTH AFRICAN PROGRESSIVE CIVIC ORGANISATION,WARD,36,67.36
71,Eastern Cape,EC108 - Kouga [Humansdorp],VRYHEIDSFRONT PLUS,PR,240,67.36
