name,province,leading_party,top_share,enp,hung_now,P(hung 2026),XGBoost score,risk band
Laingsburg,Western Cape,AFRICAN NATIONAL CONGRESS,0.2564655172413793,4.776842589523597,1,0.9174627409750469,0.98644185,High
Beaufort West,Western Cape,AFRICAN NATIONAL CONGRESS,0.2815469466409728,4.620226319122649,1,0.8906599605049774,0.90115833,High
Okhahlamba,KwaZulu-Natal,INKATHA FREEDOM PARTY,0.3073570956302218,4.426572069499975,1,0.8575064706328909,0.6606469,High
Oudtshoorn,Western Cape,DEMOCRATIC ALLIANCE,0.3090271691498685,5.086022781135974,1,0.855159157535898,0.7984274,High
Newcastle,KwaZulu-Natal,AFRICAN NATIONAL CONGRESS,0.3176281257737063,4.843257481515022,1,0.8426756217814578,0.93542314,High
City of Johannesburg,Gauteng,AFRICAN NATIONAL CONGRESS,0.3322442634379966,4.542782801933545,1,0.8199404261209627,0.8048854,High
eDumbe,KwaZulu-Natal,NATIONAL FREEDOM PARTY,0.3347402314855104,4.261900419166394,1,0.815866736398834,0.6521043,High
Metsimaholo,Free State,AFRICAN NATIONAL CONGRESS,0.3470610460409132,3.8630891210636977,1,0.7949474736444457,0.38592196,High
City of Tshwane,Gauteng,AFRICAN NATIONAL CONGRESS,0.3483856112542987,4.030555851412336,1,0.7926189530636216,0.82064456,High
Cederberg,Western Cape,AFRICAN NATIONAL CONGRESS,0.3563117304830199,3.967662827457097,1,0.7783672816422322,0.88251513,High
Dannhauser,KwaZulu-Natal,AFRICAN NATIONAL CONGRESS,0.3574850802723375,3.933106110904845,1,0.776211651435051,0.69594014,High
Knysna,Western Cape,DEMOCRATIC ALLIANCE,0.3614938828074694,3.8395999087508055,1,0.7687587657655541,0.730141,High
uMvoti,KwaZulu-Natal,AFRICAN NATIONAL CONGRESS,0.3628919330289193,3.2393864022237766,1,0.7661277997737486,0.74924725,High
eNdumeni,KwaZulu-Natal,AFRICAN NATIONAL CONGRESS,0.3629086962420296,3.452135675191102,1,0.7660961542285177,0.56128246,High
Witzenberg,Western Cape,DEMOCRATIC ALLIANCE,0.3694539249146757,4.127347787393861,1,0.7535624058663181,0.70836335,High
eMadlangeni,KwaZulu-Natal,INKATHA FREEDOM PARTY,0.3705577336537246,4.016334272202752,1,0.7514141193802426,0.9515618,High
Prince Albert,Western Cape,DEMOCRATIC ALLIANCE,0.3723290598290598,4.443764138852976,1,0.7479461290627982,0.9137112,High
Steve Tshwete,Mpumalanga,AFRICAN NATIONAL CONGRESS,0.3728831817985952,3.859233524685511,1,0.7468560709547944,0.9762887,High
Matzikama,Western Cape,DEMOCRATIC ALLIANCE,0.378915480157528,3.9014706286522265,1,0.7348322871507603,0.95359755,High
Ekurhuleni,Gauteng,AFRICAN NATIONAL CONGRESS,0.3833899058019949,3.9582688341553554,1,0.7257315319846719,0.660239,High
uMhlathuze,KwaZulu-Natal,AFRICAN NATIONAL CONGRESS,0.386707092892783,3.39334662672662,1,0.718887165575872,0.90904874,High
Thembelihle,Northern Cape,AFRICAN NATIONAL CONGRESS,0.3962888113172882,3.921315584629937,1,0.6986700120388832,0.95488006,High
Emfuleni,Gauteng,AFRICAN NATIONAL CONGRESS,0.3968551625429052,3.825119760685806,1,0.6974549480338322,0.9412553,High
Maluti a Phofung,Free State,AFRICAN NATIONAL CONGRESS,0.3982094784949602,3.880297630874881,1,0.6945405688328292,0.93689996,High
Mogale City,Gauteng,AFRICAN NATIONAL CONGRESS,0.3994116061803809,3.4349126033611883,1,0.6919433920559982,0.50615704,High
Nelson Mandela Bay,Eastern Cape,DEMOCRATIC ALLIANCE,0.4003894314528526,3.0962808441484686,1,0.6898237540646395,0.7993728,High
Bitou,Western Cape,DEMOCRATIC ALLIANCE,0.4050419308652076,3.7541303792819134,1,0.6796536006668593,0.82526433,High
Karoo Hoogland,Northern Cape,AFRICAN NATIONAL CONGRESS,0.4055330634278002,3.2532049973864967,1,0.6785719866199573,0.77064264,High
Lekwa,Mpumalanga,AFRICAN NATIONAL CONGRESS,0.4158734298257052,4.013186578585856,1,0.6554636169927831,0.79985857,High
Nama Khoi,Northern Cape,AFRICAN NATIONAL CONGRESS,0.416565398145187,3.221032687799639,1,0.6538953692405178,0.32264584,High
Govan Mbeki,Mpumalanga,AFRICAN NATIONAL CONGRESS,0.4182715263409199,3.461979596676837,1,0.650017596347837,0.9764715,High
Theewaterskloof,Western Cape,DEMOCRATIC ALLIANCE,0.42007304942493,3.650612628816542,1,0.6459062344247305,0.74649924,High
eThekwini,KwaZulu-Natal,AFRICAN NATIONAL CONGRESS,0.4250570516924475,3.727548622746333,1,0.6344459009401099,0.9262381,High
Gamagara,Northern Cape,AFRICAN NATIONAL CONGRESS,0.4306049822064057,3.044611799579958,1,0.6215497588107979,0.89721495,High
uMdoni,KwaZulu-Natal,AFRICAN NATIONAL CONGRESS,0.439284455410645,3.8119491634747273,1,0.6011131292953262,0.5085661,High
Mtubatuba,KwaZulu-Natal,INKATHA FREEDOM PARTY,0.4415714890016921,2.933971944873981,1,0.5956809579162643,0.55635685,High
Kareeberg,Northern Cape,AFRICAN NATIONAL CONGRESS,0.442476074119324,3.461534685715933,1,0.5935274599186242,0.101574175,High
Kai !Garib,Northern Cape,AFRICAN NATIONAL CONGRESS,0.4445405873127467,3.5412581274105874,1,0.5886026091780819,0.9187804,High
Siyathemba,Northern Cape,AFRICAN NATIONAL CONGRESS,0.445071937609251,2.6954998252108053,1,0.5873329131041438,0.95881325,High
Hantam,Northern Cape,AFRICAN NATIONAL CONGRESS,0.4452197331374709,3.3710489884589068,1,0.5869795922020667,0.7734958,High
Kgatelopele,Northern Cape,AFRICAN NATIONAL CONGRESS,0.4453818827708703,3.561553233468531,1,0.5865918798798887,0.6991899,High
Breede Valley,Western Cape,DEMOCRATIC ALLIANCE,0.4465522840441654,3.666695865244059,1,0.5837910237463418,0.70196134,High
Langeberg,Western Cape,DEMOCRATIC ALLIANCE,0.4475407414701393,3.5725848996857663,1,0.5814224515275528,0.4260112,High
iNkosi Langalibalele,KwaZulu-Natal,INKATHA FREEDOM PARTY,0.4513152252940847,2.9261955916565854,1,0.5723532548089432,0.68191636,High
Kannaland,Western Cape,INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA,0.4523703041144901,3.3383267722877323,1,0.5698116149698084,0.9765286,High
