year,panel_id,name,province,metro,turnout,enp,hhi,top_share,margin,parties_contesting,leading_party,total_valid,log_valid,regime
2000,BUF,Buffalo City,Eastern Cape,0,62.18,1.4727333619282579,0.6790095382172198,0.8126712963916994,0.6801522863560492,6,AFRICAN NATIONAL CONGRESS,194108,5.288043434843582,Dominant (ENP < 2)
2000,CBLC1,Kuruman-Mothibistad,Northern Cape,0,48.74,2.0558521884189136,0.4864162927827347,0.6526899296425271,0.4719636131049676,3,AFRICAN NATIONAL CONGRESS,14071,4.148324963038817,Competitive (2–3)
2000,CBLC3,Greater Marble Hall,Mpumalanga,0,48.05,1.4135125287851777,0.7074574718198183,0.8356513322125426,0.7537826685006878,5,AFRICAN NATIONAL CONGRESS,19629,4.292898175018025,Dominant (ENP < 2)
2000,CBLC4,Greater Groblersdal,Mpumalanga,0,49.39,1.4233681125140984,0.7025589453691622,0.8338449252576676,0.7669885952434429,6,AFRICAN NATIONAL CONGRESS,40071,4.602830180692315,Dominant (ENP < 2)
2000,CBLC5,Greater Tubatse,Mpumalanga,0,48.09,1.2279781192233854,0.8143467577683172,0.9004427397779199,0.8571868267159126,4,AFRICAN NATIONAL CONGRESS,42237,4.62569306365182,Dominant (ENP < 2)
2000,CBLC6,Bushbuckridge,Limpopo,0,43.26,1.5315837238097962,0.6529189259810831,0.7981180891366618,0.6862198540056057,5,AFRICAN NATIONAL CONGRESS,64934,4.812472156675629,Dominant (ENP < 2)
2000,CBLC7,Vaalharts-Morobeng,Northern Cape,0,60.12,1.6885211220732488,0.5922342261091476,0.7462000706963592,0.5652880876634854,4,AFRICAN NATIONAL CONGRESS,14145,4.15060295179301,Dominant (ENP < 2)
2000,CPT,City of Cape Town,Western Cape,1,55.66,2.309731401249588,0.43295077490784856,0.5328057233417367,0.14903924786671852,13,DEMOCRATIC ALLIANCE,709236,5.850790771774544,Competitive (2–3)
2000,EC05b1,Umzimkulu,Eastern Cape,0,53.64,1.4894382493517486,0.6713940644637212,0.810278030993619,0.7151321786690975,4,AFRICAN NATIONAL CONGRESS,26328,4.420417869286317,Dominant (ENP < 2)
2000,EC101,Dr. Beyers Naude,Eastern Cape,0,56.1,2.2210934384559735,0.45022869487884537,0.5627084386053562,0.2062657908034361,3,AFRICAN NATIONAL CONGRESS,9895,3.9954157985424152,Competitive (2–3)
2000,EC102,Blue Crane Route,Eastern Cape,0,53.78,1.7635551240466365,0.567036429065744,0.7034117647058824,0.4362352941176471,3,AFRICAN NATIONAL CONGRESS,8500,3.929418925714293,Dominant (ENP < 2)
2000,EC103,Ikwezi,Eastern Cape,0,65.88,1.8262690156004613,0.5475644559797828,0.6542148760330578,0.30842975206611567,2,AFRICAN NATIONAL CONGRESS,3025,3.4807253789884878,Dominant (ENP < 2)
2000,EC104,Makana,Eastern Cape,0,59.41,1.4415638751544944,0.6936910789976813,0.8201922642957079,0.6777993410660288,4,AFRICAN NATIONAL CONGRESS,22157,4.34551095769695,Dominant (ENP < 2)
2000,EC105,Ndlambe,Eastern Cape,0,66.38,1.6249009750835037,0.6154221182300724,0.7556117229343443,0.5461876391647108,4,AFRICAN NATIONAL CONGRESS,16617,4.220552619866346,Dominant (ENP < 2)
2000,EC106,Sundays River Valley,Eastern Cape,0,60.22,1.3724373355164101,0.7286307171348758,0.8381055435325454,0.6762110870650908,2,AFRICAN NATIONAL CONGRESS,12014,4.079687627611336,Dominant (ENP < 2)
2000,EC107,Baviaans,Eastern Cape,0,69.23,2.098538445537478,0.47652212525650434,0.5068058076225045,0.0387931034482758,3,DEMOCRATIC ALLIANCE,4408,3.6442415858437287,Competitive (2–3)
2000,EC108,Kouga,Eastern Cape,0,58.67,2.1860821832127733,0.4574393440828245,0.49378050700677056,0.032698262740775696,4,AFRICAN NATIONAL CONGRESS,19053,4.279963367458737,Competitive (2–3)
2000,EC109,Kou-Kamma,Eastern Cape,0,56.3,1.907714654211693,0.5241874081075404,0.644927536231884,0.31702898550724634,3,AFRICAN NATIONAL CONGRESS,7176,3.8558824300360355,Dominant (ENP < 2)
2000,EC121,Mbhashe,Eastern Cape,0,64.39,1.9245647269502546,0.5195980088363366,0.598989920790797,0.1979798415815941,2,AFRICAN NATIONAL CONGRESS,46333,4.6658904211024606,Dominant (ENP < 2)
2000,EC122,Mnquma,Eastern Cape,0,60.33,1.9768941610018205,0.5058439747190285,0.6589307325407561,0.3973268313518901,4,AFRICAN NATIONAL CONGRESS,56188,4.749643573749602,Dominant (ENP < 2)
2000,EC123,Great Kei,Eastern Cape,0,67.05,1.1900968709913544,0.8402677331358722,0.9141274238227147,0.8493767313019391,3,AFRICAN NATIONAL CONGRESS,11552,4.062657180225564,Dominant (ENP < 2)
2000,EC124,Amahlathi,Eastern Cape,0,62.76,1.2547893423497516,0.7969465202241626,0.889077265147304,0.8206503613118399,3,AFRICAN NATIONAL CONGRESS,35980,4.556061159009532,Dominant (ENP < 2)
2000,EC126,Ngqushwa,Eastern Cape,0,61.75,1.0858852026117127,0.9209076591106073,0.9587524708983088,0.9175049417966177,2,AFRICAN NATIONAL CONGRESS,22765,4.357267654644208,Dominant (ENP < 2)
2000,EC127,Nkonkobe,Eastern Cape,0,63.53,1.142014514955712,0.8756456129971173,0.934459963474548,0.8898063122154487,3,AFRICAN NATIONAL CONGRESS,38877,4.589692744584641,Dominant (ENP < 2)
2000,EC128,Nxuba,Eastern Cape,0,63.15,1.4115748051542925,0.7084286262042591,0.8228224172856178,0.6456448345712356,2,AFRICAN NATIONAL CONGRESS,7405,3.8695250628572273,Dominant (ENP < 2)
2000,EC131,Inxuba Yethemba,Eastern Cape,0,55.94,1.8125486257094923,0.5517093366852801,0.6773564040850842,0.37312170688870094,3,AFRICAN NATIONAL CONGRESS,15373,4.1867586271816135,Dominant (ENP < 2)
2000,EC132,Tsolwana,Eastern Cape,0,64.13,1.5500623467006827,0.6451353406064642,0.7936298736957715,0.7068643602416255,4,AFRICAN NATIONAL CONGRESS,9105,3.959279950130939,Dominant (ENP < 2)
2000,EC133,Inkwanca,Eastern Cape,0,65.13,1.303119885712104,0.7673891028480002,0.8656426553672316,0.7312853107344632,2,AFRICAN NATIONAL CONGRESS,5664,3.7531232446817127,Dominant (ENP < 2)
2000,EC134,Lukhanji,Eastern Cape,0,57.33,1.3270478890618103,0.7535523082795264,0.8641010371693713,0.8005061783534316,4,AFRICAN NATIONAL CONGRESS,40302,4.605326598682336,Dominant (ENP < 2)
2000,EC135,Intsika Yethu,Eastern Cape,0,63.21,1.5355829337214726,0.6512184904116564,0.7913864394958402,0.6396652219399193,4,AFRICAN NATIONAL CONGRESS,40146,4.603642280263075,Dominant (ENP < 2)
2000,EC136,Emalahleni,Eastern Cape,0,59.15,1.3383436050888247,0.7471922727449585,0.8600605143721634,0.7968986384266263,4,AFRICAN NATIONAL CONGRESS,26440,4.422261450813602,Dominant (ENP < 2)
2000,EC137,Engcobo,Eastern Cape,0,52.04,1.997771529923468,0.5005577389714372,0.6499115502437761,0.38296587133796434,3,AFRICAN NATIONAL CONGRESS,23177,4.365057220766325,Dominant (ENP < 2)
2000,EC138,Sakhisizwe,Eastern Cape,0,62.62,1.6987656456123958,0.5886627167101118,0.7506379876048123,0.6209442216551222,4,AFRICAN NATIONAL CONGRESS,10972,4.040285798932492,Dominant (ENP < 2)
2000,EC141,Elundini,Eastern Cape,0,57.93,1.340286791998682,0.746108971579706,0.8507912282111013,0.7015824564222026,2,AFRICAN NATIONAL CONGRESS,24898,4.396164462603818,Dominant (ENP < 2)
2000,EC142,Senqu,Eastern Cape,0,59.11,1.2874289903894032,0.7767418688447696,0.8767684288905435,0.8005584512285927,3,AFRICAN NATIONAL CONGRESS,26860,4.429106008332696,Dominant (ENP < 2)
2000,EC143,Maletswai,Eastern Cape,0,54.88,1.4069864701845343,0.7107388885330534,0.8299342471860025,0.6837178201270478,3,AFRICAN NATIONAL CONGRESS,8973,3.9529376677509807,Dominant (ENP < 2)
2000,EC144,Gariep,Eastern Cape,0,58.19,1.8485283047461996,0.5409708888051344,0.6865879964471514,0.4287526963583302,3,AFRICAN NATIONAL CONGRESS,7881,3.8965813275057326,Dominant (ENP < 2)
2000,EC153,Ngquza Hill,Eastern Cape,0,54.71,1.4731569192934357,0.6788143115667719,0.8044310076054608,0.6273324200481837,3,AFRICAN NATIONAL CONGRESS,42338,4.626730338579967,Dominant (ENP < 2)
2000,EC154,Port St Johns,Eastern Cape,0,63.89,1.618535568950584,0.6178424615335292,0.7427369579746039,0.48547391594920786,2,AFRICAN NATIONAL CONGRESS,25437,4.405465889984525,Dominant (ENP < 2)
2000,EC155,Nyandeni,Eastern Cape,0,59.72,1.7753592451885565,0.5632662812949683,0.6940914509345268,0.4093925012932682,3,AFRICAN NATIONAL CONGRESS,44461,4.64797922646009,Dominant (ENP < 2)
2000,EC156,Mhlontlo,Eastern Cape,0,56.82,1.8507544191389167,0.5403202011346598,0.6419862689393939,0.28397253787878785,2,AFRICAN NATIONAL CONGRESS,33792,4.5288138965177,Dominant (ENP < 2)
2000,EC157,King Sabata Dalindyebo,Eastern Cape,0,51.21,2.235526414059527,0.44732193442710644,0.5040941973218408,0.06584577497306443,5,UNITED DEMOCRATIC MOVEMENT,64970,4.812712866765368,Competitive (2–3)
2000,EC442,Umzimvubu,Eastern Cape,0,54.34,1.398646644677969,0.7149768698227883,0.8362619549359702,0.7209434268114768,3,AFRICAN NATIONAL CONGRESS,61690,4.7902147702439795,Dominant (ENP < 2)
2000,EC443,Winnie Madikizela-Mandela,Eastern Cape,0,46.87,1.3210855868276583,0.7569532284439756,0.8584363461229731,0.7168726922459463,2,AFRICAN NATIONAL CONGRESS,31145,4.49338833521016,Dominant (ENP < 2)
2000,EC444,Ntabankulu,Eastern Cape,0,55.52,1.4166599910332551,0.7058856792240176,0.8208470657681145,0.641694131536229,2,AFRICAN NATIONAL CONGRESS,20329,4.308116015865615,Dominant (ENP < 2)
2000,EKU,Ekurhuleni,Gauteng,1,45.31,2.376518588754041,0.4207835801209866,0.5675428430820031,0.2567429732582967,14,AFRICAN NATIONAL CONGRESS,503932,5.702371937205072,Competitive (2–3)
